Rank,Address,Balance_BC2
128,bc1qv53gfqctdt2zadqpvq3nge6aqx3mwj622nynet,3000.0
129,bc1qntmh02frdt526qtdrcta24nmmw4c6s65qx6lp6,2999.0
130,19J6ZxLGNAZbATAXL9fz5D9Leswrovxvfs,2950.0
131,bc1qyz6kua4p27xvvdkyjp45qtquhdfd36ktkjp6qg,2933.75979
132,bc1qtfzljtnv6ysqrg0xhav0z4gltv58jrlv5agyz7,2920.51025704
133,1LtSg2vsFU11BYSzDHE1CYyDrLYXRqW5rS,2900.0
134,bc1qyxfcj4lzsjndhtrcq0vfvzhuf6vx2thtph2a06,2875.64853915
135,1GtS1aFCniHyN6C4Gbcqzdq4ZmkmcQrQ2B,2800.0
136,12yVjx8hTw2iC86Z5ktFK6z6W9dkzyaxkv,2800.0
137,bc1q4u99prnjkrxd20qags7m8k7y4swdaxkzackmg0,2780.0
138,bc1qfma0drak6eptkmpvfw6mgzusea7d9m44g34xa0,2774.58656955
139,bc1q44ppf4j4yrcg4gz6650sr08zmltkv6l9kma8qk,2757.0
140,1DNGpTTXDhu3ZfGZt3ymR9GLwjyXpFLJ49,2750.0
141,14fbdqqKjxUqj7YaLAnKvXHET97CmsrrhQ,2750.0
142,bc1ql2kmd8q2yl9lcyrd365nrwhketjnpjw2krwdx2,2744.0
143,1CWUNw83RNQ9pPy9jdHQfw9pSPoNhtERwn,2650.0
144,bc1q93acxakxw87n49qhmjtrcqxvzwge9w8kyptuu5,2644.89088081
145,bc1qsuhcsg00u5l6cyxf57ejq6wuh5lcl8fa0ehfkh,2632.80622
146,bc1qnr0dx6tctls3zn4ujfqvur98xazgsmdpujey23,2609.74350289
147,1RNuKqwFL3BxqxewoMJr9sgHKPrPn6Eye,2600.0
148,bc1qe30ff90kkh8e86r8prqqq3xs3dmcfrxjew8g38,2599.0994
149,bc1qvvnp5f4zuras9fsywzr2y0ysftxsyxpc9e9jj5,2578.98175911
150,bc1quawgke47yev4xyraklrteyx7h39yscaeccdqy8,2512.9535
151,bc1qmza4uqmm3urgm4ka9gvy3trxezdu0mw9e07nvg,2500.0
152,bc1qmw2ths8nlzagt3g99wwr8rwrw9t4tgepf7vs4d,2397.3872
153,bc1qus26fatx8zmze6h2yle6xff9fk7algt5ts4e4c,2289.7735264
154,bc1qvw7t9kv4kj8p4rx5dsptz39mqygjf5cx76y93n,2230.0
155,bc1qg3evgm0t5rtsqtfuu3y4gr47ec0q5crf5hkqa0,2210.593
156,bc1qrxgp2fdyzczq925rx0drutyadvm28ffungvyww,2206.80347837
157,bc1qqz9p4g7q8m83y74f3ltdpj3tjv4type8vyra2h,2178.0001
158,bc1qnnec6ddp3kfj4dqz85jqnn4236egl9sgcgvrn6,2142.0
159,bc1qc2j8emfwyqs7dn49mz552fw3m8tnwcgs94dunq,2118.2646
160,bc1qurj7m2hge2s4vvm2w58lucfp42v9eh93vx62gz,2107.81045131
161,bc1q62duhdl4z5ta8lqawztgldujas77vkent892l4,2083.57939859
162,bc1q5tnpmnk7lts60zfcjsxwy9ejxgkffqsm9tf73r,2069.02239815
163,bc1qn0ksyw4kslvdkex97sf9966g9ftu6nek0erjte,2068.00019583
164,bc1qw5su55jpyph4tfrw0x64es6dqvqhlq4kwe33kn,2062.46911
165,bc1qy2gak2x7x5wuhv7hyclyvzsj94cm7dyu76usrt,2060.52460829
166,bc1q67pqcegu05f3d4ecw0e2c3fegd0uhw002nvhpe,2050.2468
167,bc1qr7gmc7adcpgyva72gyny6tf2udxl0st96w95t0,2050.0
168,bc1qvn69r34vesc45ajkt46zw984ndhej8yy4ek9fm,2046.4866
169,bc1qhu3dm38lkz8xyr0cm0gemxdmvm4pg5s26d7kuz,2014.82148521
170,bc1pal7zqydp8w487jlhje3h2mzxsyh7kxzqs9m87uphqfusnc693rsq6ahtl2,2010.94094956
171,bc1qx6a0qw5yapz8dscmk46nt5dngx7awfcyw5kpn7,2000.02740187
172,bc1qnkwkavfxq0qffr0wfl87nr0rslzkcaj58hll2s,2000.0
173,bc1qvkcx3hna6r003vlpc5zfxxm5axhqhn7skf280d,2000.0
174,bc1ql6q7rtalvtud2lpdx90svjrkpa8tw2tzxard85,2000.0
175,bc1qclualw2ye7z4syu47g53sq9e29tsk8etscwr7u,2000.0
176,bc1q7dc5z7qgpwck75vpjne55rlcsmf7e60duw4lhp,2000.0
177,bc1qgcrkut0t2gmd0z7ngj4yhh9ru9fmrvwflvaaer,2000.0
178,bc1q3m89cqef0ta0lfqm2ll6gu4kk6ks5gnuswphhz,1988.2787041
179,bc1q5mque0st48vy87qceknw0xjyzq9zs37wnrnz0j,1984.0919
180,bc1qkpj0yx6uy05cdpvqj9w8m39zyr59jjftjne58p,1921.4634
181,bc1qc30nyfuxgatdp749m35g2ekpum48kdchrtn930,1872.5791
182,bc1q2gxdgvgtwnjwj0f9j4rw0e0g9jmw8wnsqd3tqw,1871.5013
183,bc1q882pgykcq5gwn6pegucx52f4jp7axlgzm4n52n,1857.1449899
184,bc1qyt6q70l99p8jjx5qggmqtjxhmcdg5x2ru83900,1835.05585064
185,bc1qhq5s8mug8xv0n8wpudha9cd4ca3mfe5gupuvu2,1823.4658
186,bc1qgky92arjza44l30c5g269vxq4dk8585dpvgwvv,1808.0
187,bc1qcfk5n7lcrg0y602rd6wwknn04egdrzt0jc0waa,1797.3915
188,1799ZzoGSqMA1WUZuJUeGDb1bdpSngfcAL,1753.72241606
189,bc1qhmhc82mkln8rggrzsgm0r2864ld3n67z6p0u5z,1750.48510124
190,bc1qt07a4m954guzfc7w204r8l225etjzszz3pkh8z,1725.0716
191,bc1qq5lux7z8g8g0e9qa3xd0ruu523cuu737heja94,1714.8063
192,bc1qvksj3jh7s4hfph2tjr4tz3g5lselgsrrh6fzgn,1674.78372473
193,bc1qu5euj3ac7l5f57gtzcfmc74wjg2qzplc6wkz5v,1633.51094456
194,1FCLyifk1VMG85dcgHnhBA2WCBDDnZQhrv,1633.50089965
195,bc1qwwxhdcmt40fyas9dqyrufx6u6ct8pt44xdxzps,1617.56047912
196,bc1qgyeeupud93w7qws73m2fkalwclf4a6kkty4n0q,1607.78162781
197,bc1q0stfpuevjry6djxj3xr4e55v34tp6xx4a008rz,1576.8762
198,bc1qga9a905rwd6xeqa6ehky8ch8uzstv5ht74sm4h,1571.3192
199,bc1q92r5muu5jmx86p6s2ptnfwnf9aqr547wkrh39n,1514.8966
200,bc1qqzp6nfjqeet58qq6tjaptkyjzkz4ap9vpjvn2s,1500.0
201,bc1q4cssgvuyqm37pv70y4ag82uv7ctdk6rs49h7zj,1496.79995912
202,bc1qdr7dsuq22ap7wc3khercnv5fm7ftavrlsffkfy,1492.22229747
203,bc1q624un4fx796wzwdf8qgnlydpf8x056jnmymwgj,1450.26903496
204,bc1qklzgc7rfj8csvky6vx4x22stvsy8670jzxn0m7,1428.25773633
205,bc1qegaslsc5mtnj7c2m54284j7fjcc6dlypt0hcmx,1321.6927
206,bc1qf9hdcgswel4w3axyuvq78yx8er0n3t4vtum4kk,1315.9025
207,bc1qy3yup24j47pf49fz73zdaav9h4jrz9vp4g7yzz,1305.74236458
208,bc1q50l0l3rsqt7cqy9j72q8pddvxmr4pzp84l0yl5,1302.5818628
209,bc1qc4n2ujsff5m8dphv0q9pd2zszkknq3xftp0ym9,1255.98422836
210,bc1qxx0gc00luepx5f72nrzat4nrwtd77h4vj3sgnq,1252.45682318
211,bc1qf8za727f27nwymjt2llw5d8hwkmcy7r29ejl5c,1252.25716619
212,bc1qy3q7w36dq47t0jwlhmphlc8p9ezrq9rl8062hs,1245.999436
213,bc1qjnvrgutx9jv056l3485cnp2n08gtrevzpt8xcc,1239.42339859
214,bc1qexwqhd0znx23zf9ylf8aggytzxc5upev4qkdne,1234.1047
215,bc1qwgj78jft8hnf9umk4r2gau3sv4msgjdvu2cl98,1233.5879
216,bc1qqraet4f9sv4xcgmuf3rcdhhqqlpz2k7vx8cwgq,1228.1511
217,bc1qrwz37maw4w8g5lwad7jd600pp9kyyd69vac2a9,1216.25816329
218,bc1q60k7svd68f8e0g68ljyx967ltdd39qwgqgcqqj,1208.1882
219,139upYuyUGbX1zbthAtcNHiGksSJwx9QQV,1200.18735
220,1AfhugkzbX1oAp4g6bdE6f1E5DzdPdPyVq,1143.32
221,bc1qj8x2ejm94l5l827rxhd6e0jxhryva4p5uvnxj0,1140.91871
222,bc1qezqeatkx8enw9qcrd3sqfteemuaxau0xswfdm9,1111.55921796
223,bc1q5aslr28arte8llcza27spl244xu28lrx996vag,1104.0567
224,bc1qva0wlk0cezj32vft7j4dt440nneydlzcypjfkn,1100.0
